step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,16B:7A,16,B,7,A,15,14,20
1,3A:16B,3,A,16,B,14,15,20
2,9A:17B,9,A,17,B,15,16,20
3,5A:3A,5,A,3,A,16,16,20
4,9A:14A,9,A,14,A,16,16,20
5,13A:17A,13,A,17,A,16,16,20
6,12A:14A,12,A,14,A,16,16,20
7,12A:16A,12,A,16,A,16,16,20
8,8A:17A,8,A,17,A,16,16,20
9,9A:5A,9,A,5,A,16,16,20
10,15B:15B,15,B,15,B,16,16,20
11,9A:7B,9,A,7,B,16,17,20
12,17A:8A,17,A,8,A,17,17,20
13,15B:16A,15,B,16,A,17,16,20
14,10A:7A,10,A,7,A,16,16,20
15,5A:2A,5,A,2,A,16,16,20
16,14A:7A,14,A,7,A,16,16,20
17,5A:10A,5,A,10,A,16,16,20
18,18B:2A,18,B,2,A,16,15,20
19,2B:7A,2,B,7,A,15,14,20
20,7B:4A,7,B,4,A,14,13,20
21,14A:2B,14,A,2,B,13,14,20
22,8A:10A,8,A,10,A,14,14,20
23,11A:13A,11,A,13,A,14,14,20
24,1A:13A,1,A,13,A,14,14,20
25,7B:18B,7,B,18,B,14,14,20
26,19B:0A,19,B,0,A,14,13,20
27,17A:18B,17,A,18,B,13,14,20
28,7B:0B,7,B,0,B,14,14,20
29,18A:9A,18,A,9,A,14,14,20
30,15B:13A,15,B,13,A,14,13,20
31,10A:17A,10,A,17,A,13,13,20
32,16B:7B,16,B,7,B,13,13,20
33,9A:8A,9,A,8,A,13,13,20
34,8A:0B,8,A,0,B,13,14,20
35,7B:12A,7,B,12,A,14,13,20
36,14A:14A,14,A,14,A,13,13,20
37,18A:19B,18,A,19,B,13,14,20
38,10A:12B,10,A,12,B,14,15,20
39,12A:0A,12,A,0,A,15,15,20
40,1A:13B,1,A,13,B,15,16,20
41,2A:14A,2,A,14,A,16,16,20
42,3A:8A,3,A,8,A,16,16,20
43,7B:6A,7,B,6,A,16,15,20
44,8A:10A,8,A,10,A,15,15,20
45,15B:12A,15,B,12,A,15,14,20
46,5A:13A,5,A,13,A,14,14,20
47,5A:2A,5,A,2,A,14,14,20
48,9A:17A,9,A,17,A,14,14,20
49,1A:11A,1,A,11,A,14,14,20
50,4B:2A,4,B,2,A,14,13,20
51,15B:1A,15,B,1,A,13,12,20
52,15B:7B,15,B,7,B,12,12,20
53,3A:0A,3,A,0,A,12,12,20
54,12B:7B,12,B,7,B,12,12,20
55,2B:3A,2,B,3,A,12,11,20
56,11A:6B,11,A,6,B,11,12,20
57,9A:8A,9,A,8,A,12,12,20
58,15B:5A,15,B,5,A,12,11,20
59,12B:3B,12,B,3,B,11,11,20
