step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,16B:16B,16,B,16,B,10,10,20
1,7A:8A,7,A,8,A,10,10,20
2,10B:9A,10,B,9,A,10,9,20
3,4A:16B,4,A,16,B,9,10,20
4,7A:16A,7,A,16,A,10,10,20
5,9B:19B,9,B,19,B,10,10,20
6,1A:18B,1,A,18,B,10,11,20
7,18A:14B,18,A,14,B,11,12,20
8,9B:9B,9,B,9,B,12,12,20
9,1A:5A,1,A,5,A,12,12,20
10,11B:1A,11,B,1,A,12,11,20
11,15B:5A,15,B,5,A,11,10,20
12,17B:16A,17,B,16,A,10,9,20
13,17B:11B,17,B,11,B,9,9,20
14,6A:0A,6,A,0,A,9,9,20
15,13B:8A,13,B,8,A,9,8,20
16,12B:15B,12,B,15,B,8,8,20
17,10B:18A,10,B,18,A,8,7,20
18,11B:12B,11,B,12,B,7,7,20
19,1B:11B,1,B,11,B,7,7,20
20,15B:14A,15,B,14,A,7,6,20
21,5B:17B,5,B,17,B,6,6,20
22,17B:2A,17,B,2,A,6,5,20
23,3A:19B,3,A,19,B,5,6,20
24,7A:12B,7,A,12,B,6,7,20
25,15B:10B,15,B,10,B,7,7,20
26,11B:5B,11,B,5,B,7,7,20
27,10B:14B,10,B,14,B,7,7,20
28,15B:11B,15,B,11,B,7,7,20
29,9B:14B,9,B,14,B,7,7,20
30,11B:2B,11,B,2,B,7,7,20
31,5B:12A,5,B,12,A,7,6,20
32,8B:12B,8,B,12,B,6,6,20
33,12B:13B,12,B,13,B,6,6,20
34,11B:0A,11,B,0,A,6,5,20
35,6A:13B,6,A,13,B,5,6,20
36,3A:0B,3,A,0,B,6,7,20
37,19A:15B,19,A,15,B,7,8,20
38,14B:11B,14,B,11,B,8,8,20
39,17B:11B,17,B,11,B,8,8,20
40,17B:19A,17,B,19,A,8,7,20
41,17B:16B,17,B,16,B,7,7,20
42,7A:3A,7,A,3,A,7,7,20
43,7A:1B,7,A,1,B,7,8,20
44,0A:5B,0,A,5,B,8,9,20
45,16B:14B,16,B,14,B,9,9,20
46,16B:1A,16,B,1,A,9,8,20
47,17B:5A,17,B,5,A,8,7,20
48,6A:5B,6,A,5,B,7,8,20
49,2B:14B,2,B,14,B,8,8,20
50,14B:5A,14,B,5,A,8,7,20
51,17B:8B,17,B,8,B,7,7,20
52,14B:15A,14,B,15,A,7,6,20
53,2B:1B,2,B,1,B,6,6,20
54,0A:17B,0,A,17,B,6,7,20
55,1B:13A,1,B,13,A,7,6,20
56,16B:6A,16,B,6,A,6,5,20
57,8B:13B,8,B,13,B,5,5,20
58,2B:14B,2,B,14,B,5,5,20
59,14B:18B,14,B,18,B,5,5,20
60,1B:0A,1,B,0,A,5,4,20
61,11B:4A,11,B,4,A,4,3,20
62,1B:10B,1,B,10,B,3,3,20
63,14B:15B,14,B,15,B,3,3,20
64,7A:10B,7,A,10,B,3,4,20
65,6B:14B,6,B,14,B,4,4,20
66,6B:16B,6,B,16,B,4,4,20
67,14B:9B,14,B,9,B,4,4,20
68,14B:15B,14,B,15,B,4,4,20
69,11B:0B,11,B,0,B,4,4,20
70,8B:13B,8,B,13,B,4,4,20
71,17A:9B,17,A,9,B,4,5,20
72,2B:17A,2,B,17,A,5,4,20
73,17B:17B,17,B,17,B,4,4,20
74,17B:9A,17,B,9,A,4,3,20
75,7A:5B,7,A,5,B,3,4,20
76,14B:8B,14,B,8,B,4,4,20
77,2B:5A,2,B,5,A,4,3,20
78,0B:17B,0,B,17,B,3,3,20
79,10A:10A,10,A,10,A,3,3,20
80,12B:10A,12,B,10,A,3,2,20
81,7A:11B,7,A,11,B,2,3,20
82,8B:16B,8,B,16,B,3,3,20
83,5B:10B,5,B,10,B,3,3,20
84,10B:5B,10,B,5,B,3,3,20
85,3A:16B,3,A,16,B,3,4,20
86,6B:0B,6,B,0,B,4,4,20
87,18B:6B,18,B,6,B,4,4,20
88,8B:7A,8,B,7,A,4,3,20
89,8B:12B,8,B,12,B,3,3,20
90,3A:13B,3,A,13,B,3,4,20
91,17B:7B,17,B,7,B,4,4,20
92,13A:6B,13,A,6,B,4,5,20
93,8B:4B,8,B,4,B,5,5,20
94,18B:3A,18,B,3,A,5,4,20
95,1B:0B,1,B,0,B,4,4,20
96,12B:7B,12,B,7,B,4,4,20
97,7B:16A,7,B,16,A,4,3,20
98,8B:12B,8,B,12,B,3,3,20
99,7B:7B,7,B,7,B,3,3,20
100,7B:7B,7,B,7,B,3,3,20
101,14B:7B,14,B,7,B,3,3,20
102,9B:5B,9,B,5,B,3,3,20
103,14B:11A,14,B,11,A,3,2,20
104,13A:2B,13,A,2,B,2,3,20
105,19B:2A,19,B,2,A,3,2,20
106,15B:12B,15,B,12,B,2,2,20
107,0B:4B,0,B,4,B,2,2,20
108,13A:5B,13,A,5,B,2,3,20
109,10B:19B,10,B,19,B,3,3,20
110,17B:9B,17,B,9,B,3,3,20
111,19B:9B,19,B,9,B,3,3,20
112,2B:11B,2,B,11,B,3,3,20
113,8B:12B,8,B,12,B,3,3,20
114,4B:11B,4,B,11,B,3,3,20
115,14B:6A,14,B,6,A,3,2,20
116,4B:8B,4,B,8,B,2,2,20
117,1B:10B,1,B,10,B,2,2,20
