step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,5A:13A,5,A,13,A,15,15,20
1,0A:4A,0,A,4,A,15,15,20
2,10A:4A,10,A,4,A,15,15,20
3,17B:18B,17,B,18,B,15,15,20
4,14A:4A,14,A,4,A,15,15,20
5,10A:9A,10,A,9,A,15,15,20
6,5A:6A,5,A,6,A,15,15,20
7,3A:5A,3,A,5,A,15,15,20
8,16B:8A,16,B,8,A,15,14,20
9,15B:14A,15,B,14,A,14,13,20
10,11A:13A,11,A,13,A,13,13,20
11,12A:15B,12,A,15,B,13,14,20
12,15A:2A,15,A,2,A,14,14,20
13,6A:11A,6,A,11,A,14,14,20
14,17B:14B,17,B,14,B,14,14,20
15,0A:8B,0,A,8,B,14,15,20
16,9A:7A,9,A,7,A,15,15,20
17,17B:2A,17,B,2,A,15,14,20
18,4A:19B,4,A,19,B,14,15,20
19,18B:3A,18,B,3,A,15,14,20
20,5A:10A,5,A,10,A,14,14,20
21,12A:15A,12,A,15,A,14,14,20
22,5A:0A,5,A,0,A,14,14,20
23,15A:16B,15,A,16,B,14,15,20
24,15A:5A,15,A,5,A,15,15,20
25,3B:16A,3,B,16,A,15,14,20
26,6A:15A,6,A,15,A,14,14,20
27,17B:0A,17,B,0,A,14,13,20
28,15A:7A,15,A,7,A,13,13,20
29,16B:19A,16,B,19,A,13,12,20
30,8A:11A,8,A,11,A,12,12,20
31,13A:19B,13,A,19,B,12,13,20
32,3B:7A,3,B,7,A,13,12,20
33,3B:12A,3,B,12,A,12,11,20
34,14B:5A,14,B,5,A,11,10,20
35,5B:0B,5,B,0,B,10,10,20
36,12B:2B,12,B,2,B,10,10,20
37,19A:9A,19,A,9,A,10,10,20
38,8A:11A,8,A,11,A,10,10,20
39,5B:4A,5,B,4,A,10,9,20
40,17B:18B,17,B,18,B,9,9,20
41,10A:6A,10,A,6,A,9,9,20
42,7B:6A,7,B,6,A,9,8,20
43,19A:14B,19,A,14,B,8,9,20
44,11A:4B,11,A,4,B,9,10,20
45,2B:2B,2,B,2,B,10,10,20
46,4A:19A,4,A,19,A,10,10,20
47,2B:7B,2,B,7,B,10,10,20
48,8A:16B,8,A,16,B,10,11,20
49,19A:8A,19,A,8,A,11,11,20
50,15A:7B,15,A,7,B,11,12,20
51,7A:17B,7,A,17,B,12,13,20
52,5B:11A,5,B,11,A,13,12,20
53,16A:11B,16,A,11,B,12,13,20
54,13A:0B,13,A,0,B,13,14,20
55,9A:5B,9,A,5,B,14,15,20
56,3B:17A,3,B,17,A,15,14,20
57,16A:9A,16,A,9,A,14,14,20
58,8A:14A,8,A,14,A,14,14,20
59,11A:9A,11,A,9,A,14,14,20
60,14A:13A,14,A,13,A,14,14,20
61,1A:2B,1,A,2,B,14,15,20
62,14A:18B,14,A,18,B,15,16,20
63,0A:10A,0,A,10,A,16,16,20
64,16A:10A,16,A,10,A,16,16,20
65,7A:2A,7,A,2,A,16,16,20
66,15A:7A,15,A,7,A,16,16,20
67,13A:10A,13,A,10,A,16,16,20
68,13A:13A,13,A,13,A,16,16,20
69,9A:14A,9,A,14,A,16,16,20
70,13A:3B,13,A,3,B,16,17,20
71,12B:7A,12,B,7,A,17,16,20
72,12B:7B,12,B,7,B,16,16,20
73,11A:12B,11,A,12,B,16,17,20
74,13A:2A,13,A,2,A,17,17,20
75,5A:0A,5,A,0,A,17,17,20
76,19A:15A,19,A,15,A,17,17,20
77,14A:17B,14,A,17,B,17,18,20
78,0A:6B,0,A,6,B,18,19,20
79,0A:6A,0,A,6,A,19,19,20
80,16A:4A,16,A,4,A,19,19,20
81,6A:10A,6,A,10,A,19,19,20
82,11A:4A,11,A,4,A,19,19,20
83,15A:16A,15,A,16,A,19,19,20
84,8A:8A,8,A,8,A,19,19,20
85,6A:11A,6,A,11,A,19,19,20
86,12A:19A,12,A,19,A,19,19,20
87,19A:6A,19,A,6,A,19,19,20
88,8A:14A,8,A,14,A,19,19,20
89,9A:7B,9,A,7,B,19,20,20
